FilmId,MovieName
1,ToyStory(1995)
2,GoldenEye(1995)
3,FourRooms(1995)
4,GetShorty(1995)
5,Copycat(1995)
6,ShanghaiTriad(Yaoayaoyaodaowaipoqiao)-1995
7,TwelveMonkeys(1995)
8,Babe(1995)
9,DeadManWalking(1995)
10,RichardIII(1995)
11,Seven(Se7en)(1995)
12,UsualSuspects
13,MightyAphrodite(1995)
14,Postino
15,Mr.Holland'sOpus(1995)
16,FrenchTwist(Gazonmaudit)(1995)
17,FromDuskTillDawn(1996)
18,WhiteBalloon
19,Antonia'sLine(1995)
20,AngelsandInsects(1995)
21,MuppetTreasureIsland(1996)
22,Braveheart(1995)
23,TaxiDriver(1976)
24,RumbleintheBronx(1995)
25,Birdcage
26,BrothersMcMullen
27,BadBoys(1995)
28,Apollo13(1995)
29,BatmanForever(1995)
30,Belledejour(1967)
31,CrimsonTide(1995)
32,Crumb(1994)
33,Desperado(1995)
34,DoomGeneration
35,FreeWilly2:TheAdventureHome(1995)
36,MadLove(1995)
37,Nadja(1994)
38,Net
39,StrangeDays(1995)
40,ToWongFoo
41,BillyMadison(1995)
42,Clerks(1994)
43,Disclosure(1994)
44,DoloresClaiborne(1994)
45,EatDrinkManWoman(1994)
46,Exotica(1994)
47,EdWood(1994)
48,HoopDreams(1994)
49,I.Q.(1994)
50,StarWars(1977)
51,LegendsoftheFall(1994)
52,MadnessofKingGeorge
53,NaturalBornKillers(1994)
54,Outbreak(1995)
55,Professional
56,PulpFiction(1994)
57,Priest(1994)
58,QuizShow(1994)
59,ThreeColors:Red(1994)
60,ThreeColors:Blue(1993)
61,ThreeColors:White(1994)
62,Stargate(1994)
63,SantaClause
64,ShawshankRedemption
65,What'sEatingGilbertGrape(1993)
66,WhileYouWereSleeping(1995)
67,AceVentura:PetDetective(1994)
68,Crow
69,ForrestGump(1994)
70,FourWeddingsandaFuneral(1994)
71,LionKing
72,Mask
73,Maverick(1994)
74,FasterPussycat!Kill!Kill!(1965)
75,BrotherMinister:TheAssassinationofMalcolmX(1994)
76,Carlito'sWay(1993)
77,Firm
78,FreeWilly(1993)
79,Fugitive
80,HotShots!PartDeux(1993)
81,HudsuckerProxy
82,JurassicPark(1993)
83,MuchAdoAboutNothing(1993)
84,RobertA.Heinlein'sThePuppetMasters(1994)
85,Ref
86,RemainsoftheDay
87,SearchingforBobbyFischer(1993)
88,SleeplessinSeattle(1993)
89,BladeRunner(1982)
90,SoIMarriedanAxeMurderer(1993)
91,NightmareBeforeChristmas
92,TrueRomance(1993)
93,WelcometotheDollhouse(1995)
94,HomeAlone(1990)
95,Aladdin(1992)
96,Terminator2:JudgmentDay(1991)
97,DanceswithWolves(1990)
98,SilenceoftheLambs
99,SnowWhiteandtheSevenDwarfs(1937)
100,Fargo(1996)
101,HeavyMetal(1981)
102,Aristocats
103,AllDogsGotoHeaven2(1996)
104,TheodoreRex(1995)
105,Sgt.Bilko(1996)
106,Diabolique(1996)
107,MollFlanders(1996)
108,KidsintheHall:BrainCandy(1996)
109,MysteryScienceTheater3000:TheMovie(1996)
110,OperationDumboDrop(1995)
111,TruthAboutCats&Dogs
112,Flipper(1996)
113,HorsemanontheRoof
114,Wallace&Gromit:TheBestofAardmanAnimation(1996)
115,HauntedWorldofEdwardD.WoodJr.
116,ColdComfortFarm(1995)
117,Rock
118,Twister(1996)
119,MayaLin:AStrongClearVision(1994)
120,Striptease(1996)
121,IndependenceDay(ID4)(1996)
122,CableGuy
123,Frighteners
124,LoneStar(1996)
125,Phenomenon(1996)
126,SpitfireGrill
127,Godfather
128,Supercop(1992)
129,Bound(1996)
130,KansasCity(1996)
131,BreakfastatTiffany's(1961)
132,WizardofOz
133,GonewiththeWind(1939)
134,CitizenKane(1941)
135,2001:ASpaceOdyssey(1968)
136,Mr.SmithGoestoWashington(1939)
137,BigNight(1996)
138,D3:TheMightyDucks(1996)
139,LoveBug
140,HomewardBound:TheIncredibleJourney(1993)
141,20
142,BedknobsandBroomsticks(1971)
143,SoundofMusic
144,DieHard(1988)
145,LawnmowerMan
146,UnhooktheStars(1996)
147,LongKissGoodnight
148,GhostandtheDarkness
149,Jude(1996)
150,Swingers(1996)
151,WillyWonkaandtheChocolateFactory(1971)
152,Sleeper(1973)
153,FishCalledWanda
154,MontyPython'sLifeofBrian(1979)
155,DirtyDancing(1987)
156,ReservoirDogs(1992)
157,Platoon(1986)
158,WeekendatBernie's(1989)
159,BasicInstinct(1992)
160,GlengarryGlenRoss(1992)
161,TopGun(1986)
162,OnGoldenPond(1981)
163,ReturnofthePinkPanther
164,Abyss
165,JeandeFlorette(1986)
166,ManonoftheSpring(Manondessources)(1986)
167,PrivateBenjamin(1980)
168,MontyPythonandtheHolyGrail(1974)
169,WrongTrousers
170,CinemaParadiso(1988)
171,Delicatessen(1991)
172,EmpireStrikesBack
173,PrincessBride
174,RaidersoftheLostArk(1981)
175,Brazil(1985)
176,Aliens(1986)
177,Good
178,12AngryMen(1957)
179,ClockworkOrange
180,ApocalypseNow(1979)
181,ReturnoftheJedi(1983)
182,GoodFellas(1990)
183,Alien(1979)
184,ArmyofDarkness(1993)
185,Psycho(1960)
186,BluesBrothers
187,Godfather:PartII
188,FullMetalJacket(1987)
189,GrandDayOut
190,HenryV(1989)
191,Amadeus(1984)
192,RagingBull(1980)
193,RightStuff
194,Sting
195,Terminator
196,DeadPoetsSociety(1989)
197,Graduate
198,Nikita(LaFemmeNikita)(1990)
199,BridgeontheRiverKwai
200,Shining
201,EvilDeadII(1987)
202,GroundhogDay(1993)
203,Unforgiven(1992)
204,BacktotheFuture(1985)
205,Patton(1970)
206,Akira(1988)
207,CyranodeBergerac(1990)
208,YoungFrankenstein(1974)
209,ThisIsSpinalTap(1984)
210,IndianaJonesandtheLastCrusade(1989)
211,M*A*S*H(1970)
212,UnbearableLightnessofBeing
213,RoomwithaView
214,PinkFloyd-TheWall(1982)
215,FieldofDreams(1989)
216,WhenHarryMetSally...(1989)
217,BramStoker'sDracula(1992)
218,CapeFear(1991)
219,NightmareonElmStreet
220,MirrorHasTwoFaces
221,BreakingtheWaves(1996)
222,StarTrek:FirstContact(1996)
223,SlingBlade(1996)
224,Ridicule(1996)
225,101Dalmatians(1996)
226,DieHard2(1990)
227,StarTrekVI:TheUndiscoveredCountry(1991)
228,StarTrek:TheWrathofKhan(1982)
229,StarTrekIII:TheSearchforSpock(1984)
230,StarTrekIV:TheVoyageHome(1986)
231,BatmanReturns(1992)
232,YoungGuns(1988)
233,UnderSiege(1992)
234,Jaws(1975)
235,MarsAttacks!(1996)
236,CitizenRuth(1996)
237,JerryMaguire(1996)
238,RaisingArizona(1987)
239,Sneakers(1992)
240,BeavisandButt-headDoAmerica(1996)
241,LastoftheMohicans
242,Kolya(1996)
243,Jungle2Jungle(1997)
244,Smilla'sSenseofSnow(1997)
245,Devil'sOwn
246,ChasingAmy(1997)
247,Turbo:APowerRangersMovie(1997)
248,GrossePointeBlank(1997)
249,AustinPowers:InternationalManofMystery(1997)
250,FifthElement
251,ShallWeDance?(1996)
252,LostWorld:JurassicPark
253,PillowBook
254,Batman&Robin(1997)
255,MyBestFriend'sWedding(1997)
256,WhentheCatsAway(Chacuncherchesonchat)(1996)
257,MeninBlack(1997)
258,Contact(1997)
259,GeorgeoftheJungle(1997)
260,EventHorizon(1997)
261,AirBud(1997)
262,IntheCompanyofMen(1997)
263,Steel(1997)
264,Mimic(1997)
265,HuntforRedOctober
266,KulltheConqueror(1997)
267,unknown
268,ChasingAmy(1997)
269,FullMonty
270,Gattaca(1997)
271,StarshipTroopers(1997)
272,GoodWillHunting(1997)
273,Heat(1995)
274,Sabrina(1995)
275,SenseandSensibility(1995)
276,LeavingLasVegas(1995)
277,Restoration(1995)
278,BedofRoses(1996)
279,OnceUponaTime...WhenWeWereColored(1995)
280,UpCloseandPersonal(1996)
281,RiverWild
282,TimetoKill
283,Emma(1996)
284,TinCup(1996)
285,Secrets&Lies(1996)
286,EnglishPatient
287,Marvin'sRoom(1996)
288,Scream(1996)
289,Evita(1996)
290,FierceCreatures(1997)
291,AbsolutePower(1997)
292,Rosewood(1997)
293,DonnieBrasco(1997)
294,LiarLiar(1997)
295,Breakdown(1997)
296,Promesse
297,Ulee'sGold(1997)
298,Face/Off(1997)
299,Hoodlum(1997)
300,AirForceOne(1997)
301,In&Out(1997)
302,L.A.Confidential(1997)
303,Ulee'sGold(1997)
304,FlyAwayHome(1996)
305,IceStorm
306,Mrs.Brown(HerMajesty
307,Devil'sAdvocate
308,FairyTale:ATrueStory(1997)
309,Deceiver(1997)
310,Rainmaker
311,WingsoftheDove
312,MidnightintheGardenofGoodandEvil(1997)
313,Titanic(1997)
314,3Ninjas:HighNoonAtMegaMountain(1998)
315,AptPupil(1998)
316,AsGoodAsItGets(1997)
317,IntheNameoftheFather(1993)
318,Schindler'sList(1993)
319,EveryoneSaysILoveYou(1996)
320,ParadiseLost:TheChildMurdersatRobinHoodHills-1996
321,Mother(1996)
322,Murderat1600(1997)
323,Dante'sPeak(1997)
324,LostHighway(1997)
325,Crash(1996)
326,G.I.Jane(1997)
327,CopLand(1997)
328,ConspiracyTheory(1997)
329,DesperateMeasures(1998)
330,187(1997)
331,Edge
332,KisstheGirls(1997)
333,Game
334,UTurn(1997)
335,HowtoBeaPlayer(1997)
336,PlayingGod(1997)
337,HouseofYes
338,Bean(1997)
339,MadCity(1997)
340,BoogieNights(1997)
341,CriticalCare(1997)
342,ManWhoKnewTooLittle
343,Alien:Resurrection(1997)
344,Apostle
345,DeconstructingHarry(1997)
346,JackieBrown(1997)
347,WagtheDog(1997)
348,DesperateMeasures(1998)
349,HardRain(1998)
350,Fallen(1998)
